Action Rotate,Action Translate,Action Scale,World Coordinates,Local Coordinates,Camera Projection Coordinates,Action Select,Lightning,Save Project,Open Project,Create Project,Reload Project,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Build Project,Build N Run Project,Cancel Build,Create Package,Create Folder,Display Properties,Rename Package,Rename Folder,Delete Selected Item,Expand Asset Folders,Expand All,Collapse All,Show in Explorer
Rotate,Transladar,Redimensionar,World View,Local Coordinates,Coordenadas Camara,Destacar,Alumbrado,Save,Empezar,Create Project,Reload Project,Undo Last Action,Redo Last Action,Abrir IDE,Reload Game,Build,Construir y Correr,Build Cancel,Create Package,Crear Folder,Mostrar Propiedades,Paquete Renombrar,Package Folder,Delete Item,Expandir Folder,Expandir Todos,All Collapse,Explorador Mostrar
Girar,Move,Calibrar,World View,Coordenadas Local,Camara,Seleccionar,Luz,Guardar,Empezar,Proyecto Crear,Recargar Proyecto,Undo,Redo Last Action,IDE,Recargar Juego,Build,Build and Run,Build Cancel,Create Package,Folder Crear,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Borrar Item,Expandir Folder,Expand All,Todos Collapsar,Explorer Show
Voltear,Translate,Scale,World Coordinate,Coordenada Local,Camera Coordinates,Destacar,Alumbrado,Registrar,Open,Crear Proyecto,Reload Project,Undo Last Action,Redo Last Action,Abrir IDE,Reload Game,Contruir Proyecto,Build and Run,Build Cancelar,Create Package,Create Folder,Display Property,Rename Package,Folder Renombrar,Borrar Item,Folder Expand,All Expand,Collapsar Todos,Explorador Mostrar
Rotate,Move,Redimensionar,Mundo,Coordenada Local,Camera Coordinates,Escoger,Luz,Save,Open,Create P,Reload P,Deshacer accion,Rehacer accion,Abrir IDE,Game Reload,Build,Contruir y Comenzar,Build Cancelar,Paquete Crear,Crear Folder,Display Property,Paquete Renombrar,Package Folder,Delete Item,Folder Expand,Expandir Todos,All Collapse,Explorador Mostrar
Girar,Move,Escalar,Mundo,Local Coordinate,Coordenada Camara,Destacar,Light,Grabar,Iniciar,Create Project,Recargar Proyecto,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Contruir Proyecto,Construir y Correr,Cancel Build,Crear Paquete,Folder Crear,Display Property,Rename Package,Renombrar Folder,Borrar Item,Expandir Folder,Expandir Todos,Collapse All,Mostrar en Explorador
Rotate,Mover,Redimensionar,World Coordinate,Coordenadas Local,Coordenadas Camara,Destacar,Iluminacion,Save,Open,Create Project,Proyecto Recargar,Deshacer,Redo Last Action,IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Build Cancelar,Paquete Crear,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Borrar Item,Folder Expandir,Expand All,Collapsar Todos,Show in Explorer
Girar,Translate,Calibrar,World Coordinates,Local,Camara Coordenada,Destacar,Light,Guardar,Empezar,Crear Proyecto,Reload Project,Deshacer,Rehacer accion,Abrir IDE,Juego Recargar,Contruir Proyecto,Build and Start,Cancel Build,Create Package,Folder Create,Propiedades Mostrar,Rename Package,Package Folder,Delete Item,Folder Expand,Expand All,Collapsar Todos,Explorador Mostrar
Rotate,Mover,Scale,Coordenadas Mundo,Locales,Camara Coordenadas,Escoger,Light,Save,Open,Crear Proyecto,Proyecto Recargar,Undo Last Action,Redo Last Action,IDE,Reload Game,Contruir Proyecto,Construir y Correr,Build Cancel,Package Create,Create Folder,Display Property,Package Rename,Rename Folder,Delete Item,Folder Expandir,Expandir Todos,Collapse All,Mostrar en Explorador
Girar,Transladar,Calibrar,Coordenadas Mundo,Local Coordinates,Coordenadas Camara,Destacar,Light,Registrar,Iniciar,Proyecto Crear,Proyecto Recargar,Undo,Rehacer,Abrir IDE,Recargar Juego,Proyecto Construir,Build and Run,Cancelar Build,Crear Paquete,Folder Crear,Mostrar Propiedades,Package Rename,Rename Folder,Borrar Item,Expand Folder,Expand All,Todos Collapsar,Explorer Show
Rotar,Transladar,Escalar,World View,Local Coordinate,Camera Coordinates,Seleccionar,Luz,Save,Iniciar,Create Project,Reload Project,Undo Last Action,Rehacer accion,IDE,Reload Game,Build,Contruir y Comenzar,Cancelar Build,Paquete Crear,Crear Folder,Display Property,Renombrar Paquete,Renombrar Folder,Item Delete,Expand Folder,All Expand,Collapse All,Explorador Mostrar
Girar,Move,Calibrar,World View,Local,Camara Coordenadas,Seleccionar,Luz,Guardar,Open,Create P,Recargar Proyecto,Undo Last Action,Rehacer accion,IDE,Reload Game,Build Project,Contruir y Comenzar,Build Cancel,Package Create,Folder Crear,Display Property,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expandir,Expand All,Todos Collapsar,Mostrar en Explorador
Rotar,Transladar,Redimensionar,World Coordinate,Locales,Camara Coordenadas,Seleccionar,Alumbrado,Save,Iniciar,Create P,Reload P,Deshacer accion,Rehacer accion,Open IDE,Game Reload,Build,Build and Start,Build Cancelar,Crear Paquete,Folder Crear,Display Property,Paquete Renombrar,Renombrar Folder,Delete Item,Expand Folder,Expand All,Collapse All,Explorador Mostrar
Rotar,Move,Calibrar,Mundo,Local Coordinates,Camara Coordenada,Destacar,Light,Registrar,Iniciar,Crear Proyecto,Reload Project,Undo Last Action,Rehacer,Open IDE,Juego Recargar,Build Project,Build and Start,Cancelar Build,Crear Paquete,Crear Folder,Property Display,Renombrar Paquete,Renombrar Folder,Item Borrar,Folder Expand,Todos Expandir,Collapse All,Mostrar en Explorador
Girar,Transladar,Scale,World View,Local Coordinates,Camara Coordenadas,Escoger,Iluminacion,Save,Iniciar,Proyecto Crear,Reload Project,Undo Last Action,Redo,Open IDE,Recargar Juego,Proyecto Construir,Contruir y Comenzar,Cancel Build,Crear Paquete,Folder Crear,Propiedades Mostrar,Package Rename,Rename Folder,Item Borrar,Folder Expandir,Todos Expandir,Todos Collapsar,Explorador Mostrar
Rotate,Mover,Redimensionar,World Coordinate,Coordenada Local,Camara,Destacar,Luz,Grabar,Iniciar,Create P,Reload Project,Undo Last Action,Rehacer accion,Abrir IDE,Reload Game,Contruir Proyecto,Build and Start,Build Cancelar,Crear Paquete,Crear Folder,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Delete Item,Folder Expandir,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Rotar,Mover,Escalar,Coordenadas Mundo,Coordenadas Local,Coordenadas Camara,Escoger,Light,Grabar,Iniciar,Crear Proyecto,Reload Project,Undo Last Action,Redo Last Action,Abrir IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Cancelar Build,Create Package,Folder Create,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Item Delete,Folder Expandir,Expand All,Collapse All,Explorador Mostrar
Voltear,Move,Redimensionar,World View,Local,Camara,Seleccionar,Luz,Guardar,Empezar,Crear Proyecto,Reload Project,Undo Last Action,Rehacer,Open IDE,Reload Game,Build Project,Build and Start,Build Cancel,Crear Paquete,Create Folder,Display Property,Paquete Renombrar,Folder Renombrar,Borrar Item,Folder Expandir,Expand All,Todos Collapsar,Show in Explorer
Rotar,Mover,Redimensionar,World View,Local Coordinate,Camara Coordenadas,Destacar,Light,Grabar,Iniciar,Create Project,Reload Project,Deshacer,Rehacer,Abrir IDE,Game Reload,Contruir Proyecto,Build and Run,Cancel Build,Crear Paquete,Folder Create,Property Display,Rename Package,Renombrar Folder,Borrar Item,Folder Expand,Expand All,Todos Collapsar,Explorador Mostrar
Rotate,Mover,Redimensionar,Coordenada Mundo,Coordenadas Local,Coordenada Camara,Destacar,Luz,Save,Open,Crear Proyecto,Reload P,Undo Last Action,Redo Last Action,Abrir IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Cancelar Build,Crear Paquete,Crear Folder,Property Display,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expand,All Expand,Todos Collapsar,Explorador Mostrar
Rotar,Mover,Redimensionar,Coordenadas Mundo,Locales,Camara Coordenada,Destacar,Light,Grabar,Iniciar,Proyecto Crear,Reload P,Undo,Redo,Open IDE,Game Reload,Build Project,Construir y Correr,Build Cancelar,Package Create,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Delete Item,Expand Folder,Todos Expandir,Collapsar Todos,Explorer Show
